DISTRIBUTOR,DIST_SKU CODE,DIST_SKU NAME,iNova_GL SKU Code,iNova_ID SKU NAME,iNova_GL CATEGORY,iNova_ID SUB CATEGORY,iNova_Finance_Code,iNova_SKU_Status,Short Desc
DMA,LBTDE,BETADINE SOLUTION 1L,105443,BETADINE SOLUTION 1L,WOUND,SOLUTIONS,IT-00067,ACTIVE,SOL 1L
DMA,LBTDF,(*)BETADINE SOL 1 GALON,105498,BETADINE SOLUTION 1 GALON,WOUND,SOLUTIONS,IT-00069,ACTIVE,SOL 1 GALON
DMA,LBTDG,(*)BETADINE SOL 55 ML,105442,BETADINE SOLUTION 60ML,WOUND,SOLUTIONS,UBSOL55,ACTIVE,SOL 60
DMA,LBTDH,(*)BET.SOL30ML+BET.PLESTE,105441,BETADINE SOLUTION 30ML,WOUND,SOLUTIONS,IT-00063,ACTIVE,SOL 30
DMA,LBTDI,(*)BET.SOL5ML+BET.PLESTER,105439,BETADINE SOLUTION 5ML,WOUND,SOLUTIONS,IT-00061,ACTIVE,SOL 5
DMA,LBTDJ,BETADINE SOL 5 ML (MM),105439,BETADINE SOLUTION 5ML,WOUND,SOLUTIONS,IT-00061,ACTIVE,SOL 5
DMA,LBTDK,BETADINE SOL 15 ML (MM),105440,BETADINE SOLUTION 15ML,WOUND,SOLUTIONS,IT-00062,ACTIVE,SOL 15
DMA,LBTDL,BETADINE SOL 30 ML (MM),105441,BETADINE SOLUTION 30ML,WOUND,SOLUTIONS,IT-00063,ACTIVE,SOL 30
DMA,LBTDM,BETADINE SOL 60 ML (MM),105442,BETADINE SOLUTION 60ML,WOUND,SOLUTIONS,IT-00065,ACTIVE,SOL 60
DMA,LBTMA,BETADINE SOLUTION 5 ML,105439,BETADINE SOLUTION 5ML,WOUND,SOLUTIONS,IT-00061,ACTIVE,SOL 5
DMA,LBTMB,BETADINE SOLUTION 15 ML,105440,BETADINE SOLUTION 15ML,WOUND,SOLUTIONS,IT-00062,ACTIVE,SOL 15
DMA,LBTMC,BETADINE SOLUTION 30 ML,105441,BETADINE SOLUTION 30ML,WOUND,SOLUTIONS,IT-00063,ACTIVE,SOL 30
DMA,LBTMD,BETADINE SOLUTION 60 ML,105442,BETADINE SOLUTION 60ML,WOUND,SOLUTIONS,IT-00065,ACTIVE,SOL 60
